Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000031972,Acta1,Gene Expression,0.7906176394113938,0.0,0.0,19564,10.36356126939202,770
ENSMUSG00000040152,Thbs1,Gene Expression,0.781241989454436,0.0,0.0,15653,15.98604514781688,1036
ENSMUSG00000061723,Tnnt3,Gene Expression,0.7721804022942131,0.0,0.0,9270,4.784034429263652,615
ENSMUSG00000017300,Tnnc2,Gene Expression,0.7606236867743665,0.0,0.0,10039,5.584653417223197,650
ENSMUSG00000057003,Myh4,Gene Expression,0.7598176697843922,0.0,0.0,11083,6.200139575188152,633
ENSMUSG00000029661,Col1a2,Gene Expression,0.7521137957890848,0.0,0.0,19832,14.650601231994823,985
ENSMUSG00000026981,Il1rn,Gene Expression,0.7511115203468439,0.0,0.0,11672,11.534997060807958,1041
ENSMUSG00000056071,S100a9,Gene Expression,0.7461884610132296,0.0,0.0,15658,14.984228663379204,1022
ENSMUSG00000019987,Arg1,Gene Expression,0.7393180992473389,0.0,0.0,8778,8.734020764245846,815
ENSMUSG00000030730,Atp2a1,Gene Expression,0.7237082269046441,0.0,0.0,5372,2.744511444455908,492
ENSMUSG00000061816,Myl1,Gene Expression,0.7228639482467354,0.0,0.0,3180,1.622710040767595,407
ENSMUSG00000026208,Des,Gene Expression,0.7228486986002453,0.0,0.0,6929,3.4776026477290496,575
ENSMUSG00000030399,Ckm,Gene Expression,0.7200074464282421,0.0,0.0,7765,4.401607450234555,624
ENSMUSG00000030672,Mylpf,Gene Expression,0.7155320559464862,0.0,0.0,4961,2.570594050497839,493
ENSMUSG00000031762,Mt2,Gene Expression,0.7086544158713658,0.0,0.0,21365,12.77423094084821,996
ENSMUSG00000001506,Col1a1,Gene Expression,0.708188833197256,0.0,0.0,14927,10.464023314523827,944
ENSMUSG00000026043,Col3a1,Gene Expression,0.7069815776854947,0.0,0.0,24555,17.167135145077637,999
ENSMUSG00000051747,Ttn,Gene Expression,0.7068829285456066,0.0,0.0,4967,2.571797666906874,510
